Epoch,Time (s),Train Loss,Test Loss,BIC
1,117.68299007415771,596704.4462890625,34146.7666015625,219863.1029588157
2,234.25430607795715,292968.71728515625,26669.796875,204909.1635056907
3,352.5944781303406,228738.3104248047,20897.964599609375,193365.49895490945
4,469.3901491165161,177095.50048828125,15254.9560546875,182079.4818650657
5,584.433247089386,113221.80798339844,8501.126953125,168571.8236619407
6,700.9613919258118,66422.67834472656,5778.817443847656,163127.204643386
7,816.2065849304199,44367.59408569336,3718.62841796875,159006.8265916282
8,934.9677410125732,32467.03143310547,2925.165512084961,157419.90077986062
9,1052.8938291072845,26896.82876586914,2682.350799560547,156934.2713548118
10,1171.2714829444885,23676.206420898438,2296.0909576416016,156161.7516709739
