Epoch,Time (s),Train Loss,Test Loss,BIC
1,1.6294629573822021,523832.4423828125,41474.89990234375,1.7031574842763603e7
2,2.8638010025024414,383693.97412109375,23942.682861328125,1.699651040868157e7
3,4.134397983551025,164357.8037109375,10628.580444335938,1.6969882203847587e7
4,5.4036478996276855,59413.40887451172,4058.954833984375,1.6956742952626884e7
5,6.673810005187988,37456.804260253906,3541.4962463378906,1.695570803545159e7
6,7.936415910720825,34147.124908447266,3451.3273315429688,1.6955527697622e7
7,9.204462051391602,31576.066864013672,3009.606903076172,1.6954644256765068e7
8,10.456560850143433,29986.925903320312,2933.4266662597656,1.6954491896291435e7
9,11.718538999557495,28297.35382080078,2774.9826049804688,1.6954175008168876e7
10,12.985327959060669,26919.696411132812,2738.3529663085938,1.6954101748891532e7
11,14.253010034561157,26421.33953857422,2595.1070251464844,1.695381525700921e7
12,15.512028932571411,25280.064544677734,2556.9491577148438,1.6953738941274345e7
13,16.777365922927856,24966.71240234375,2671.3902282714844,1.695396782341546e7
14,18.045650959014893,24053.492797851562,2387.0390014648438,1.6953399120961845e7
15,19.310969829559326,23497.6533203125,2341.182159423828,1.6953307407277763e7
16,20.57606601715088,22735.150848388672,2290.8414611816406,1.695320672588128e7
17,21.8299880027771,22039.869262695312,2306.7450561523438,1.695323853307122e7
18,23.097086906433105,21870.15887451172,2185.6747436523438,1.695299639244622e7
19,24.360100984573364,21314.163299560547,2312.4830017089844,1.6953250008962333e7
20,25.630133867263794,21375.8984375,2202.0935974121094,1.695302923015374e7
21,26.89890694618225,20905.30224609375,2081.3380279541016,1.6952787719014823e7
22,28.166584968566895,20373.773162841797,2033.7085266113281,1.6952692460012138e7
23,29.43542504310608,19865.467224121094,2023.2808074951172,1.6952671604573905e7
24,30.7051739692688,19544.794311523438,2324.5120849609375,1.6953274067128837e7
25,31.975527048110962,19510.470306396484,2393.8298950195312,1.6953412702748954e7
26,33.2461040019989,19003.449798583984,1895.2504577636719,1.6952415543874443e7
27,34.51844096183777,19194.360748291016,2075.774658203125,1.695277659227532e7
28,35.787225008010864,18935.512741088867,1970.7367706298828,1.6952566516500175e7
29,37.055513858795166,18318.99008178711,1965.9049377441406,1.6952556852834404e7
30,38.32496500015259,18142.72686767578,1867.898452758789,1.6952360839864433e7
31,39.59610605239868,17733.719284057617,1816.5391540527344,1.695225812126702e7
32,40.85640096664429,17892.499801635742,1806.8609313964844,1.695223876482171e7
33,42.12441396713257,17630.37289428711,1885.3789367675781,1.695239580083245e7
34,43.385968923568726,17732.05354309082,1766.0127716064453,1.6952157068502128e7
35,44.65442705154419,18159.369888305664,1857.950180053711,1.6952340943319023e7
36,45.92268490791321,16939.458877563477,1730.5778198242188,1.6952086198598564e7
37,47.194100856781006,16792.218826293945,1852.7583923339844,1.6952330559743583e7
38,48.47000598907471,16832.62875366211,1819.9214477539062,1.6952264885854423e7
39,49.73795199394226,16760.333908081055,1760.2994079589844,1.6952145641774833e7
40,51.006348848342896,16776.469039916992,1711.5368194580078,1.695204811659783e7
41,52.27294087409973,16315.050247192383,1705.9676818847656,1.6952036978322685e7
42,53.5424919128418,17102.433868408203,1676.0675964355469,1.6951977178151786e7
43,54.81390690803528,16504.204010009766,1688.0451202392578,1.6952001133199394e7
44,56.08321499824524,16313.957107543945,1625.7886505126953,1.695187662025994e7
45,57.354641914367676,15811.727172851562,1722.5852355957031,1.6952070213430107e7
46,58.625746965408325,15727.910217285156,1644.4675903320312,1.695191397813958e7
47,59.89459800720215,16178.295989990234,1641.1268615722656,1.695190729668206e7
48,61.176738023757935,15843.723419189453,1639.1716003417969,1.69519033861596e7
49,62.44189786911011,15566.913070678711,1770.0441589355469,1.6952165131276786e7
50,63.71150994300842,15810.160339355469,1636.8719177246094,1.6951898786794364e7
51,64.98141193389893,15046.916641235352,1551.1500701904297,1.6951727343099296e7
52,66.24451994895935,15284.092071533203,1605.8695526123047,1.695183678206414e7
53,67.51237082481384,15859.131896972656,1674.5276489257812,1.6951974098256767e7
54,68.7838499546051,15028.362686157227,1574.4473266601562,1.6951773937612236e7
55,70.05786204338074,15033.705017089844,1667.0217590332031,1.695195908647698e7
56,71.34185600280762,14896.346420288086,1559.64453125,1.6951744332021415e7
57,72.61357998847961,14636.987442016602,1630.0435638427734,1.69518851300866e7
58,73.88564085960388,14721.444305419922,1519.1068267822266,1.695166325661248e7
59,75.15913891792297,14682.380874633789,1538.7895812988281,1.6951702622121513e7
60,76.42158389091492,14349.567962646484,1583.7613525390625,1.6951792565663993e7
61,77.67932105064392,14601.896286010742,1636.9301300048828,1.6951898903218925e7
62,78.96120405197144,14021.147979736328,1511.457763671875,1.695164795848626e7
63,80.21420288085938,13956.982284545898,1539.5862884521484,1.695170421553582e7
64,81.46943283081055,13946.120483398438,1514.7660064697266,1.6951654574971855e7
65,82.73759293556213,13803.70101928711,1573.378173828125,1.695177179930657e7
66,84.01797199249268,14005.649459838867,1520.913345336914,1.695166686964959e7
67,85.28855204582214,13661.133193969727,1510.9865112304688,1.6951647015981376e7
68,86.55724787712097,14135.963256835938,1639.813720703125,1.695190467040032e7
69,87.82387590408325,13619.581817626953,1535.433822631836,1.695169591060418e7
70,89.1060118675232,13613.535278320312,1479.5987091064453,1.6951584240377128e7
71,90.37189197540283,13214.909744262695,1489.5955047607422,1.6951604233968437e7
72,91.63737297058105,13560.16567993164,1665.912353515625,1.6951956867665946e7
73,92.92514085769653,13944.137908935547,1518.820816040039,1.6951662684590995e7
74,94.19014501571655,13151.016845703125,1446.8181610107422,1.6951518679280937e7
75,95.45994997024536,13177.996688842773,1476.772720336914,1.695157858839959e7
76,96.72965383529663,12848.259323120117,1466.1463775634766,1.6951557335714042e7
77,98.00931000709534,12915.149810791016,1579.5941467285156,1.6951784231252372e7
78,99.27227592468262,13529.057174682617,1690.6800689697266,1.6952006403096855e7
79,100.54113101959229,12904.927276611328,1457.7764129638672,1.6951540595784843e7
80,101.82535600662231,12454.469543457031,1474.9749603271484,1.695157499287957e7
81,103.09338593482971,12368.2158203125,1503.5867004394531,1.6951632216359794e7
82,104.36945295333862,12441.590942382812,1394.0365447998047,1.6951413116048515e7
83,105.62826585769653,12341.807846069336,1418.6290435791016,1.6951462301046073e7
84,106.88618183135986,12295.770401000977,1533.8903350830078,1.695169282362908e7
85,108.1556408405304,12009.309555053711,1416.2315063476562,1.695145750597161e7
86,109.419508934021,11995.0810546875,1436.3451843261719,1.6951497733327568e7
87,110.68437695503235,12524.11686706543,1436.3482208251953,1.6951497739400566e7
88,111.96990895271301,12131.24087524414,1432.880111694336,1.6951490803182304e7
89,113.23641681671143,12203.599533081055,1448.7113342285156,1.6951522465627372e7
90,114.5194890499115,12117.60562133789,1379.5273895263672,1.6951384097737968e7
91,115.78020191192627,11756.646347045898,1385.0897674560547,1.6951395222493827e7
92,117.05257081985474,11535.752456665039,1413.061019897461,1.695145116499871e7
93,118.31062602996826,11435.339080810547,1387.7404022216797,1.695140052376336e7
94,119.58891582489014,11367.934204101562,1404.525634765625,1.6951434094228446e7
95,120.85652303695679,11275.806167602539,1433.0052795410156,1.6951491053517997e7
96,122.12523794174194,11306.950744628906,1407.5962982177734,1.695144023555535e7
97,123.38470888137817,11288.74380493164,1440.1903686523438,1.695150542369622e7
98,124.66198897361755,11039.504821777344,1512.9007720947266,1.6951650844503105e7
99,125.92082500457764,11028.311172485352,1585.893051147461,1.695179682906121e7
100,127.19991302490234,10759.430419921875,1344.6104431152344,1.6951314263845146e7
101,128.46142387390137,10706.159149169922,1429.7008056640625,1.6951484444570243e7
102,129.73581290245056,10782.886917114258,1375.658950805664,1.6951376360860527e7
103,130.99458503723145,10689.014099121094,1382.2658386230469,1.695138957463616e7
104,132.26772284507751,10583.116485595703,1438.1758422851562,1.6951501394643486e7
105,133.52846789360046,10717.261993408203,1371.5072479248047,1.6951368057454765e7
106,134.79524993896484,10425.935577392578,1407.9447479248047,1.6951440932454765e7
107,136.072331905365,10462.421768188477,1372.3345184326172,1.695136971199578e7
108,137.3341999053955,10177.857849121094,1403.1022491455078,1.6951431247457206e7
109,138.61387085914612,10273.78596496582,1426.3726501464844,1.695147778825921e7
110,139.88838481903076,10386.863037109375,1380.3783111572266,1.695138579958123e7
111,141.14600586891174,9939.740921020508,1457.915267944336,1.6951540873494804e7
112,142.41682291030884,9974.940673828125,1348.258316040039,1.6951321559590995e7
113,143.68923687934875,9845.167861938477,1402.9742736816406,1.695143099150628e7
114,144.94601202011108,9804.219055175781,1396.4405975341797,1.6951417924153984e7
115,146.21647095680237,9666.655532836914,1473.4531860351562,1.6951571949330986e7
116,147.48734593391418,9803.803176879883,1403.010009765625,1.6951431062978446e7
117,148.74604392051697,9416.353233337402,1381.2993927001953,1.6951387641744316e7
118,150.01670503616333,9451.470901489258,1413.3637237548828,1.6951451770406425e7
119,151.2887740135193,9502.344505310059,1379.2668914794922,1.6951383576741874e7
120,152.55974197387695,9249.250244140625,1421.8148193359375,1.6951468672597587e7
121,153.81979990005493,9178.608169555664,1416.6934204101562,1.6951458429799736e7
122,155.09282398223877,8949.779975891113,1372.8673706054688,1.6951370777700126e7
123,156.36410999298096,8833.341773986816,1400.2300567626953,1.695142550307244e7
124,157.63482093811035,8929.613586425781,1417.5880432128906,1.695146021904534e7
125,158.90617299079895,8776.08878326416,1371.9545440673828,1.695136895204705e7
126,160.16671800613403,8717.11954498291,1403.5250549316406,1.695143209306878e7
127,161.43650794029236,8699.708106994629,1397.530517578125,1.695142010399407e7
128,162.7081708908081,8618.906112670898,1412.9676055908203,1.6951450978170097e7
