Epoch,Time (s),Train Loss,Test Loss,BIC
1,2.0984649658203125,490913.73876953125,34263.83447265625,1.7017152711904228e7
2,4.074816942214966,158507.5966796875,5839.6419677734375,1.6960304326894462e7
3,6.050173997879028,47132.55261230469,4242.230163574219,1.6957109503286064e7
4,8.026569843292236,38962.30206298828,3907.445098876953,1.695643993315667e7
5,10.163947820663452,33742.28643798828,3581.1288452148438,1.6955787300649345e7
6,12.139145851135254,29789.761627197266,2863.2727966308594,1.6954351588552177e7
7,14.117514848709106,27389.007934570312,2617.6466369628906,1.695386033623284e7
8,16.094138860702515,24813.569610595703,2410.8711853027344,1.695344678532952e7
9,18.228046894073486,23885.905029296875,2503.574249267578,1.695363219145745e7
10,20.206069946289062,24669.384155273438,2764.1488037109375,1.6954153340566337e7
11,22.183862924575806,22718.728424072266,2208.849090576172,1.6953042741140068e7
12,24.214908838272095,21499.436981201172,2090.2034606933594,1.6952805449880302e7
13,26.291993856430054,21238.72103881836,2259.6063842773438,1.695314425572747e7
14,28.26213002204895,20358.66326904297,2195.1209716796875,1.6953015284902275e7
15,30.23274803161621,20624.758911132812,2157.258544921875,1.695293956004876e7
16,32.202693939208984,19787.241638183594,1922.8993225097656,1.6952470841603935e7
17,34.33205795288086,19137.81478881836,1991.3872375488281,1.6952607817434013e7
18,36.30407094955444,19068.032318115234,1969.5326232910156,1.6952564108205497e7
19,38.27267098426819,18417.64581298828,1883.5621948242188,1.6952392167348564e7
20,40.243661880493164,18067.116897583008,1883.4324035644531,1.6952391907766044e7
21,42.25019884109497,17695.75439453125,2007.2007751464844,1.695263944450921e7
22,44.346285820007324,18224.251739501953,2149.498565673828,1.6952924040090263e7
23,46.318092823028564,18639.081588745117,1866.132568359375,1.6952357308095634e7
24,48.290488958358765,17328.675674438477,1921.169448852539,1.695246738185662e7
25,50.26525688171387,17139.359283447266,1771.5415344238281,1.6952168126027763e7
26,52.392247915267944,17007.655029296875,1996.6626586914062,1.6952618368276298e7
27,54.37147402763367,17517.08901977539,1773.6713562011719,1.6952172385671318e7
28,56.344764947891235,16503.933486938477,1705.5072631835938,1.6952036057485282e7
29,58.31964302062988,16230.625244140625,1708.8096618652344,1.6952042662282646e7
30,60.38491487503052,16206.4404296875,1640.8227233886719,1.6951906688405693e7
31,62.42099595069885,15736.050186157227,1680.6665344238281,1.6951986376027763e7
32,64.77644300460815,15715.708129882812,1660.4358215332031,1.695194591460198e7
33,66.74231696128845,15722.406051635742,1665.7017517089844,1.6951956446462333e7
34,68.71144700050354,15884.621612548828,1804.6048889160156,1.6952234252736747e7
35,70.72474884986877,15287.754028320312,1578.674545288086,1.695178239204949e7
36,72.71494793891907,14833.685653686523,1686.8880615234375,1.6951998819081962e7
37,74.8369448184967,14880.07730102539,1756.1323852539062,1.6952137307729423e7
38,76.80334997177124,14568.542419433594,1596.560546875,1.6951818164052665e7
39,78.76504898071289,14381.213882446289,1777.8416137695312,1.6952180726186454e7
40,80.72847390174866,14267.218658447266,1602.6354522705078,1.6951830313863456e7
41,82.70848488807678,13739.58901977539,1515.8197174072266,1.695165668239373e7
42,84.84685587882996,14799.40756225586,1653.20654296875,1.6951931456044853e7
43,86.82843089103699,13749.431137084961,1604.0414733886719,1.6951833125905693e7
44,88.80513095855713,14058.664993286133,1551.7669067382812,1.695172857677239e7
45,90.78622388839722,13832.468002319336,1523.8671875,1.6951672777333915e7
46,92.76567888259888,13082.142318725586,1502.8765411376953,1.695163079604119e7
47,94.90277600288391,13651.52018737793,1524.3670043945312,1.6951673776967704e7
48,96.88268780708313,13311.89404296875,1524.219497680664,1.6951673481954277e7
49,98.8629310131073,13078.147033691406,1484.819808959961,1.6951594682576835e7
50,100.84331488609314,13468.17561340332,1518.9021606445312,1.6951662847280204e7
51,102.82251596450806,12932.353744506836,1566.9898376464844,1.695175902263421e7
52,104.96083998680115,13652.225128173828,1761.7109069824219,1.695214846477288e7
53,106.94104099273682,13002.626434326172,1481.8957977294922,1.6951588834554374e7
54,108.91990494728088,12133.274658203125,1527.0811309814453,1.6951679205220878e7
55,110.89956092834473,12121.743682861328,1447.3418426513672,1.6951519726644218e7
56,113.03867292404175,11798.719787597656,1462.1801147460938,1.6951549403188407e7
57,115.01964783668518,12198.556549072266,1533.0106811523438,1.695169106432122e7
58,116.99717998504639,11916.92724609375,1458.037826538086,1.695154111861199e7
59,118.98258590698242,11523.901245117188,1503.0948181152344,1.6951631232595146e7
